iter	RMSE
0	14.55756724
1	14.17623012
2	13.81931202
3	13.50032798
4	13.1605567
5	12.846772
6	12.55291531
7	12.26194002
8	11.99380336
9	11.72539934
10	11.46215018
11	11.19635097
12	10.97472667
13	10.73762751
14	10.52902994
15	10.32995566
16	10.11747346
17	9.908360293
18	9.707925939
19	9.506122603
20	9.349737623
21	9.18034103
22	9.032580922
23	8.879185892
24	8.741743162
25	8.594745152
26	8.471187924
27	8.331643315
28	8.204936017
29	8.083821161
30	7.966436421
31	7.851640336
32	7.740521912
33	7.647004762
34	7.541551087
35	7.44886236
36	7.349545648
37	7.261115379
38	7.169110265
39	7.078643962
40	7.003310834
41	6.934903601
42	6.858489042
43	6.784691772
44	6.714835532
45	6.65085932
46	6.590790678
47	6.531595771
48	6.478130118
49	6.420827641
50	6.366531491
51	6.322414302
52	6.284956912
53	6.23444529
54	6.195521653
55	6.155500384
56	6.120265342
57	6.080867335
58	6.046431277
59	6.012478132
60	5.980382154
61	5.943214364
62	5.913531457
63	5.882422759
64	5.857257236
65	5.82919512
66	5.803220951
67	5.782344693
68	5.753666182
69	5.736513044
70	5.712226734
71	5.689514868
72	5.668205351
73	5.64937647
74	5.626272257
75	5.609505599
76	5.588750997
77	5.568834384
78	5.552953732
79	5.535394832
80	5.519284909
81	5.500246035
82	5.482205276
83	5.46582842
84	5.44926449
85	5.430115407
86	5.41641051
87	5.402741639
88	5.39267278
89	5.380256133
90	5.370895671
91	5.358044925
92	5.343881235
93	5.329407494
94	5.31639004
95	5.30421221
96	5.296209005
97	5.286849681
98	5.275763728
99	5.26722756
100	5.260111669
101	5.25120197
102	5.244483459
103	5.236284904
104	5.228606049
105	5.220161516
106	5.21276667
107	5.205674373
108	5.196559433
109	5.190367954
110	5.179683955
111	5.1722077
112	5.166182054
113	5.160782415
114	5.153081369
115	5.146137793
116	5.138159653
117	5.133019403
118	5.124405554
119	5.117113451
120	5.11293457
121	5.107605583
122	5.099999004
123	5.0936275
124	5.089156759
125	5.081728856
126	5.076882825
127	5.072929105
128	5.06892763
129	5.067178366
130	5.059591003
131	5.053748228
132	5.046907573
133	5.0414864
134	5.035899853
135	5.032435214
136	5.028198251
137	5.024719362
138	5.017784124
139	5.013387756
140	5.007486978
141	5.006462657
142	5.000744858
143	4.996565083
144	4.991861083
145	4.984454735
146	4.979156138
147	4.976122466
148	4.969980361
149	4.96428244
150	4.958500951
151	4.952804455
152	4.94773272
153	4.942960845
154	4.938867206
155	4.936232521
156	4.933684057
157	4.929514982
158	4.926311656
159	4.922793862
160	4.918841985
161	4.917058148
162	4.913340947
163	4.907054768
164	4.903433752
165	4.899897868
166	4.898420075
167	4.89394054
168	4.888475123
169	4.88541687
170	4.882749582
171	4.879603772
172	4.875935192
173	4.873777682
174	4.870820717
175	4.866416548
176	4.861209347
177	4.860357725
178	4.856653148
179	4.854289708
180	4.852320873
181	4.847358619
182	4.844136467
183	4.837759547
184	4.833463672
185	4.83087846
186	4.828774145
187	4.823535695
188	4.819002391
189	4.811970073
190	4.807231304
191	4.801510529
192	4.798635318
193	4.794435001
194	4.790223566
195	4.785506279
196	4.778065453
197	4.776208487
198	4.773287531
199	4.770079257
200	4.766407709
201	4.760628405
202	4.754944544
203	4.754233876
204	4.750700962
205	4.747704806
206	4.746418913
207	4.743771898
208	4.738945056
209	4.736586797
210	4.732564962
211	4.727655467
212	4.722933785
213	4.718464483
214	4.714201327
215	4.711199175
216	4.708345136
217	4.705805852
218	4.701951608
219	4.698767684
220	4.696458172
221	4.692113832
222	4.689780277
223	4.688291797
224	4.682287978
225	4.68198764
226	4.676766497
227	4.673055152
228	4.667881589
229	4.665634868
230	4.663420588
231	4.661966085
232	4.658260252
233	4.653120062
234	4.65106663
235	4.647981464
236	4.645982721
237	4.644182826
238	4.640657826
239	4.634111805
240	4.629524641
241	4.627212838
242	4.624298595
243	4.623109386
244	4.622131865
245	4.621490657
246	4.614741812
247	4.611693405
248	4.604744173
249	4.601508412
250	4.594985321
251	4.592631865
252	4.590238809
253	4.587849193
254	4.586958681
255	4.582563395
256	4.581864616
257	4.579495105
258	4.575736918
259	4.572152935
260	4.569887949
261	4.567719882
262	4.563863972
263	4.560949536
264	4.559308432
265	4.55854267
266	4.554895771
267	4.554695146
268	4.551355699
269	4.548360609
270	4.542567102
271	4.534647947
272	4.534351123
273	4.531410392
274	4.527944333
275	4.520273828
276	4.515597635
277	4.514845867
278	4.512841579
279	4.50721458
280	4.503447488
281	4.500463766
282	4.500276931
283	4.497819893
284	4.494678262
285	4.486638382
286	4.479023972
287	4.478752115
288	4.47634635
289	4.474470604
290	4.470124302
291	4.464277866
292	4.463125888
293	4.460101734
294	4.458539028
295	4.453189528
296	4.447359419
297	4.447098153
298	4.442068999
299	4.438377407
300	4.433272679
301	4.428449308
302	4.423244411
303	4.418769906
304	4.414437584
305	4.407039422
306	4.406873139
307	4.404355181
308	4.402550963
309	4.398193102
310	4.394419221
311	4.391437406
312	4.389708185
313	4.382603527
314	4.37777161
315	4.376051987
316	4.371802933
317	4.370226992
318	4.36836065
319	4.36442823
320	4.358896471
321	4.357552957
322	4.356284516
323	4.354659246
324	4.350187907
325	4.348601477
326	4.344396898
327	4.344050326
328	4.341216996
329	4.339313954
330	4.337029126
331	4.333536436
332	4.330796519
333	4.325912639
334	4.324466198
335	4.316393579
336	4.310468984
337	4.306690169
338	4.305272091
339	4.298209959
340	4.298008017
341	4.292282594
342	4.286037503
343	4.283060812
344	4.279091779
345	4.276340905
346	4.275426418
347	4.271688901
348	4.265492425
349	4.262003013
350	4.25766207
351	4.253805214
352	4.251865696
353	4.25144927
354	4.251184464
355	4.249830882
356	4.243209331
357	4.240006822
358	4.234090875
359	4.230343705
360	4.2272465
361	4.22374411
362	4.220323033
363	4.218506985
364	4.21604339
365	4.213241792
366	4.210535214
367	4.207764479
